date	away_team	home_team	predicted_total	market_adjusted_total	prediction_std	close_total_line	edge	p_over	bet	actual_total	bet_won
2023-05-26	Texas Rangers	Baltimore Orioles	9.898911420679834	8.658237025637026	4.5153384	8.75	-0.09176297436297354	0.4918930527220016	UNDER	14.0	False
2023-05-26	St. Louis Cardinals	Cleveland Guardians	7.465752535699141	6.5290985144340645	4.056438	7.75	-1.2209014855659355	0.3817153628652215	UNDER	7.0	True
2023-05-26	Cincinnati Reds	Chicago Cubs	8.391858191147827	3.9366604429526	4.731489	6.5	-2.5633395570474	0.3817153628652215	UNDER	9.0	False
2023-05-26	Los Angeles Dodgers	Tampa Bay Rays	9.492922009179242	8.906497750985087	4.600922	9.0	-0.09350224901491266	0.4918930527220016	UNDER	12.0	False
2023-05-26	Philadelphia Phillies	Atlanta Braves	8.614294801063473	9.263757789308078	4.369808	10.0	-0.7362422106919215	0.43310131477184843	UNDER	10.0	True
2023-05-26	San Diego Padres	New York Yankees	7.616713773538152	7.559954153348427	4.32205	9.25	-1.6900458466515733	0.34788799240626483	UNDER	6.0	True
2023-05-26	Chicago White Sox	Detroit Tigers	9.545116167492793	8.996798569017677	4.289693	8.5	0.4967985690176775	0.5460992907801419	OVER	15.0	True
2023-05-27	Houston Astros	Oakland Athletics	8.644604812255007	8.40528896469561	4.6604023	8.5	-0.09471103530439073	0.4918930527220016	UNDER	9.0	False
2023-05-27	Philadelphia Phillies	Atlanta Braves	8.359801827782768	8.0204813109575	4.329902	8.75	-0.7295186890425001	0.43310131477184843	UNDER	3.0	True
2023-05-27	San Diego Padres	New York Yankees	7.9672504276729255	7.793499504923485	4.1932826	8.5	-0.706500495076515	0.43310131477184843	UNDER	5.0	True
2023-05-27	Chicago White Sox	Detroit Tigers	9.579654014401376	8.998195558859367	4.3017554	8.5	0.4981955588593667	0.5460992907801419	OVER	10.0	True
2023-05-27	Toronto Blue Jays	Minnesota Twins	10.48669030691468	11.448723459095604	4.9329505	7.5	3.9487234590956035	0.6717355371900828	OVER	16.0	True
2023-05-27	Texas Rangers	Baltimore Orioles	8.664603112471665	8.418678458791568	4.0015516	8.5	-0.08132154120843182	0.4918930527220016	UNDER	8.0	True
2023-05-27	Washington Nationals	Kansas City Royals	10.07334207540148	9.407409396733161	4.556063	9.5	-0.09259060326683866	0.4918930527220016	UNDER	6.0	True
2023-05-27	Miami Marlins	Los Angeles Angels	8.112619519700505	8.413977401416043	4.2328744	8.5	-0.08602259858395733	0.4918930527220016	UNDER	13.0	False
2023-05-27	Boston Red Sox	Arizona Diamondbacks	9.915125530447632	8.900589835734385	4.89163	9.0	-0.09941016426561511	0.4918930527220016	UNDER	3.0	True
2023-05-27	St. Louis Cardinals	Cleveland Guardians	7.381688852860195	6.347693803668845	4.2255363	8.0	-1.6523061963311552	0.34788799240626483	UNDER	3.0	True
2023-05-27	Cincinnati Reds	Chicago Cubs	8.745198666004779	8.409883474758322	4.4343224	8.5	-0.09011652524167779	0.4918930527220016	UNDER	13.0	False
2023-05-27	New York Mets	Colorado Rockies	10.553062566374392	11.400653328048486	4.888506	11.5	-0.0993466719515137	0.4918930527220016	UNDER	17.0	False
2023-05-27	Los Angeles Dodgers	Tampa Bay Rays	9.1377202954301	7.908587183035948	4.4981084	8.0	-0.09141281696405201	0.4918930527220016	UNDER	11.0	False
2023-05-27	Pittsburgh Pirates	Seattle Mariners	7.530720132825723	6.265551606791718	4.3591614	7.0	-0.7344483932082824	0.43310131477184843	UNDER	5.0	True
2023-05-27	San Francisco Giants	Milwaukee Brewers	7.812508215865567	5.269313658469148	4.117468	7.5	-2.230686341530852	0.3817153628652215	UNDER	4.0	True
2023-05-28	Los Angeles Dodgers	Tampa Bay Rays	11.783482404627565	11.387212474174637	5.549884	11.5	-0.11278752582536278	0.4918930527220016	UNDER	21.0	False
2023-05-28	Pittsburgh Pirates	Seattle Mariners	8.224147681534367	8.412286337121651	4.316086	8.5	-0.08771366287834859	0.4918930527220016	UNDER	9.0	False
2023-05-28	San Diego Padres	New York Yankees	9.093579415716249	8.263770649993003	4.2130294	7.5	0.7637706499930026	0.5460992907801419	OVER	17.0	True
2023-05-28	Chicago White Sox	Detroit Tigers	8.855034865744422	7.910094001395052	4.423963	8.0	-0.08990599860494797	0.4918930527220016	UNDER	11.0	False
2023-05-28	St. Louis Cardinals	Cleveland Guardians	7.882839220520635	6.818933737841722	4.299086	8.5	-1.6810662621582777	0.34788799240626483	UNDER	7.0	True
2023-05-28	Washington Nationals	Kansas City Royals	9.986068565121322	8.90349258378497	4.748796	9.0	-0.09650741621502945	0.4918930527220016	UNDER	5.0	True
2023-05-28	San Francisco Giants	Milwaukee Brewers	8.04805803528673	7.289635261500626	4.216218	8.0	-0.7103647384993739	0.43310131477184843	UNDER	12.0	False
2023-05-28	Texas Rangers	Baltimore Orioles	8.590848474373749	8.318938725845285	4.0422935	9.0	-0.6810612741547146	0.43310131477184843	UNDER	5.0	True
2023-05-28	Cincinnati Reds	Chicago Cubs	8.650419676084777	7.660182030116251	4.4196315	7.75	-0.08981796988374935	0.4918930527220016	UNDER	13.0	False
2023-05-28	New York Mets	Colorado Rockies	10.716320917840395	12.067718055651383	5.471159	11.5	0.5677180556513832	0.5413223140495868	OVER	21.0	True
2023-05-28	Houston Astros	Oakland Athletics	8.42182565228728	7.057896341205526	4.791381	8.5	-1.4421036587944744	0.3817153628652215	UNDER	11.0	False
2023-05-28	Miami Marlins	Los Angeles Angels	8.401377257600045	7.378026138290113	4.3084593	7.5	-0.12197386170988711	0.4918930527220016	UNDER	2.0	True
2023-05-28	Boston Red Sox	Arizona Diamondbacks	9.034313971733805	7.73579623348318	4.535768	8.5	-0.76420376651682	0.43310131477184843	UNDER	6.0	True
